Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.212-106.75.13.202-54881-443-6,192.168.31.212,54881,106.75.13.202,443,6,14/06/2024 07:05:20 下午,1179088,12,11,3011.0,4535.0,1200.0,0.0,250.91666666666663,464.47183265870206,1200.0,0.0,412.2727272727273,517.714417591222,6399.861587939154,19.506601712510008,53594.90909090909,203366.07762121723,960771.0,0.0,1137947.0,103449.72727272726,285074.10905450216,960771.0,10.0,1136978.0,113697.8,326659.6445975876,1042117.0,0.0,0,0,0,0,276,244,10.177357415222614,9.329244297287396,0.0,1200.0,314.41666666666663,480.3049680347274,230692.86231884052,2,2,0,7,22,0,0,0,0.0,328.0869565217391,250.91666666666666,412.27272727272725,0,0,0,7546,11,79744,0,0,0,0,64240,69,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-171.107.86.35-54914-443-6,192.168.31.212,54914,171.107.86.35,443,6,14/06/2024 07:05:22 下午,60780,9,10,1798.0,6139.0,1200.0,0.0,199.7777777777778,424.02882501599396,1200.0,0.0,613.9000000000001,572.3181807351572,130585.71898650871,312.6028298782494,3376.666666666667,6945.448336013687,21914.0,0.0,37788.0,4723.5,7713.920663320307,17871.0,8.0,44706.0,4967.333333333333,8400.837145784937,22068.0,0.0,0,0,0,0,216,212,148.07502467917078,164.52780519907864,0.0,1200.0,396.85,531.3572764752148,282340.5552631579,2,2,0,3,18,0,0,0,1.0,417.7368421052632,199.77777777777777,613.9,0,0,0,7937,8,374687,0,0,0,0,64240,144,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-171.107.86.35-54915-443-6,192.168.31.212,54915,171.107.86.35,443,6,14/06/2024 07:05:22 下午,60875,8,11,1830.0,6139.0,1200.0,0.0,228.75,450.12498264370976,1200.0,0.0,558.0909090909091,573.6327142946877,130907.5975359343,312.11498973305953,3381.944444444445,6814.366834099351,21987.0,0.0,38888.0,5555.428571428572,8645.941453598192,19907.0,9.0,44802.0,4480.2,7838.781960370005,22116.0,0.0,0,0,0,0,184,232,131.41683778234088,180.69815195071868,0.0,1200.0,398.45,532.0425858499437,283069.3131578947,2,2,0,3,18,0,0,0,1.0,419.42105263157896,228.75,558.0909090909091,0,0,0,7969,8,356762,0,0,0,0,64240,148,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-43.135.181.183-54895-18716-6,192.168.31.212,54895,43.135.181.183,18716,6,14/06/2024 07:05:21 下午,1657955,16,17,2494.0,8502.0,1200.0,0.0,155.875,343.29790270259446,1200.0,0.0,500.1176470588234,569.671712738238,6632.26685887132,19.904038408762602,51811.09375,176269.59253798443,966405.0,0.0,488930.0,32595.333333333336,66646.21182532932,165210.0,5.0,1500685.0,93792.8125,242765.45301922425,966405.0,0.0,0,0,0,0,368,364,9.650442864854595,10.253595543908007,0.0,1200.0,323.4117647058823,493.74058442251066,243779.76470588238,2,2,0,10,32,0,0,0,1.0,333.2121212121212,155.875,500.11764705882354,0,0,0,10972,15,33139,0,0,0,0,64240,501,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-43.135.181.183-54893-18716-6,192.168.31.212,54893,43.135.181.183,18716,6,14/06/2024 07:05:21 下午,1658103,15,17,2647.0,8429.0,1200.0,0.0,176.46666666666667,369.9754560713969,1200.0,0.0,495.8235294117647,568.4808962592891,6679.922779224209,19.299162959116533,53487.19354838709,178074.27669868912,962032.0,0.0,496853.0,35489.5,68869.49561168351,167148.0,2.0,1499706.0,93731.62500000001,241495.97805867632,962032.0,0.0,0,0,0,0,348,364,9.046482637085875,10.252680322030658,0.0,1200.0,335.6363636363636,500.4988023325966,250499.0511363636,2,2,0,10,31,0,0,0,1.0,346.125,176.46666666666667,495.8235294117647,0,0,0,11052,15,32687,0,0,0,0,64240,501,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-23.220.228.65-54857-443-6,192.168.31.212,54857,23.220.228.65,443,6,14/06/2024 07:05:20 下午,2652560,6,4,2122.0,264.0,1200.0,0.0,353.66666666666663,554.9059980453145,264.0,0.0,66.0,132.0,899.5083994330006,3.7699429984618633,294728.8888888889,628685.5824538694,1945864.0,8.0,2463030.0,492606.0,823362.2855271548,1945864.0,8.0,2344430.0,781476.6666666666,1219372.1488587204,2186768.0,3097.0,0,0,0,0,132,92,2.2619657990771183,1.5079771993847455,0.0,1200.0,216.90909090909088,429.21264066787563,184223.4909090909,2,2,0,2,9,0,0,0,0.0,238.6,353.6666666666667,66.0,0,0,0,0,0,0,6,2122,4,264,64240,501,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-43.135.181.183-54894-18716-6,192.168.31.212,54894,43.135.181.183,18716,6,14/06/2024 07:05:21 下午,1699945,16,16,2683.0,8367.0,1200.0,0.0,167.68749999999997,364.5764151724574,1200.0,0.0,522.9375000000001,571.7115203492054,6500.210300921501,18.824138428007963,54836.93548387097,182652.67662842784,984321.0,0.0,1699945.0,113329.66666666666,305778.2080462118,1189763.0,2.0,1534209.0,102280.6,254958.26253352582,984321.0,0.0,0,0,0,0,380,344,9.412069214003981,9.412069214003981,0.0,1200.0,334.84848484848476,500.6807316801372,250681.19507575757,1,2,1,10,31,0,0,0,1.0,345.3125,167.6875,522.9375,0,0,0,11026,15,32047,0,0,0,0,64240,501,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-43.135.181.183-54917-18716-6,192.168.31.212,54917,43.135.181.183,18716,6,14/06/2024 07:05:22 下午,1757520,17,18,2634.0,11066.0,1200.0,0.0,154.94117647058826,349.485241209882,1200.0,0.0,614.7777777777778,576.9697265537224,7795.074878237517,19.914424871409715,51691.76470588236,167399.30342059533,935435.0,0.0,601273.0,37579.5625,82768.29446671695,261386.0,5.0,1591784.0,93634.35294117648,229061.3287593361,935435.0,0.0,0,0,0,0,400,372,9.672720651827575,10.24170421958214,0.0,1200.0,380.55555555555554,524.0248873285339,274602.08253968257,2,2,0,11,34,0,0,0,1.0,391.42857142857144,154.94117647058823,614.7777777777778,0,0,0,13676,18,31429,0,0,0,0,64240,501,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-43.135.181.183-54892-18716-6,192.168.31.212,54892,43.135.181.183,18716,6,14/06/2024 07:05:21 下午,3353712,12,13,3027.0,5410.0,1200.0,0.0,252.25,465.7322923974869,1200.0,0.0,416.15384615384613,565.9859901319476,2515.71989485084,7.45442661743167,139738.0,380133.93724523624,1655371.0,0.0,2185810.0,198710.0,489983.9585649718,1655371.0,4.0,3196198.0,266349.8333333333,584255.475942103,1902961.0,0.0,0,0,0,0,264,284,3.5781247763672015,3.8763018410644685,0.0,1200.0,324.5,510.184300032841,260288.01999999996,2,2,0,8,24,0,0,0,1.0,337.48,252.25,416.15384615384613,0,0,0,8389,10,25752,12,3027,13,5410,64240,501,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-180.97.108.214-54910-443-6,192.168.31.212,54910,180.97.108.214,443,6,14/06/2024 07:05:22 下午,30098235,21,26,4176.0,17334.0,1200.0,0.0,198.85714285714286,424.07467334353817,1152.0,0.0,666.6923076923078,538.9882944354744,714.659846333182,1.5615533601887288,654309.456521739,3084210.331702894,1.500419E7,0.0,3.0098186E7,1504909.3,4607214.948276123,1.500419E7,3.0,3.0068033E7,1202721.3200000003,4145461.94500683,1.5032562E7,0.0,0,0,0,0,516,544,0.6977153311481554,0.8638380290405734,0.0,1200.0,448.1249999999999,538.0658673987549,289514.87765957444,1,2,0,10,46,0,0,0,1.0,457.6595744680851,198.85714285714286,666.6923076923077,0,0,0,21447,23,187094,10,2088,13,8667,64240,1168,6,20,86765.0,82602.79996465011,145174.0,28356.0,1.4962306E7,59232.92084643471,1.500419E7,1.4920422E7,NeedManualLabel
